name,location,area,price_range,veg,special_dishes,rating,vibe,reviews
Aliganj Coffee,Aliganj,North,110,true,Espresso,4.1,Cafe,Quick
Hazratganj Coffee,Hazratganj,Central,350,true,Cold Brew,4.5,Cafe,Premium
Aminabad Coffee,Aminabad,Central,100,true,Black Coffee,4.0,Cafe,Budget
Chowk Coffee,Chowk,Old,80,true,Special Coffee,4.3,Cafe,Local
Kapoorthala Tea,Kapoorthala,North,50,true,Lemon Tea,4.4,Street,Student
Aliganj Tea,Aliganj,North,40,true,Green Tea,4.3,Street,Healthy
Hazratganj Tea,Hazratganj,Central,150,true,Assam Tea,4.6,Cafe,Premium
Aminabad Tea,Aminabad,Central,30,true,Ginger Tea,4.5,Street,Classic
Chowk Tea,Chowk,Old,25,true,Masala Tea,4.7,Street,Morning
Kapoorthala Juice,Kapoorthala,North,80,true,Orange Juice,4.3,Street,Student
Aliganj Juice,Aliganj,North,70,true,Apple Juice,4.2,Street,Fresh
Hazratganj Juice,Hazratganj,Central,150,true,Pomegranate,4.5,Street,Healthy
Aminabad Juice,Aminabad,Central,60,true,Pineapple,4.4,Street,Sweet
Chowk Juice,Chowk,Old,50,true,Mixed Fruit,4.3,Street,Local
Kapoorthala Sweets,Kapoorthala,North,300,true,Ladoo,4.5,Sweets,Traditional
Aliganj Sweets,Aliganj,North,280,true,Barfi,4.4,Sweets,Quick
Hazratganj Sweets,Hazratganj,Central,500,true,Premium Sweets,4.7,Sweets,Gifting
Aminabad Sweets,Aminabad,Central,250,true,Bengali Sweets,4.6,Sweets,Authentic
Chowk Sweets,Chowk,Old,200,true,Indian Mithai,4.3,Sweets,Local
Kapoorthala Bakery,Kapoorthala,North,150,true,Veg Puff,4.2,Bakery,Student
Aliganj Bakery,Aliganj,North,140,true,Cream Roll,4.1,Bakery,Quick
Hazratganj Bakery,Hazratganj,Central,400,true,Artisan Bread,4.5,Bakery,Premium
Aminabad Bakery,Aminabad,Central,100,true,Rusk,4.3,Bakery,Classic
Chowk Bakery,Chowk,Old,80,true,Biscuits,4.4,Bakery,Local
Kapoorthala Fast Food,Kapoorthala,North,100,true,Aloo Patties,4.2,Street,Student
Aliganj Fast Food,Aliganj,North,90,true,Veg Cutlet,4.1,Street,Quick
Hazratganj Fast Food,Hazratganj,Central,300,true,Cheese Fries,4.5,Street,Trendy
Aminabad Fast Food,Aminabad,Central,150,true,Bread Pakoda,4.3,Street,Classic
Chowk Fast Food,Chowk,Old,100,true,Samosa Chaat,4.4,Street,Authentic
Kapoorthala North Indian,Kapoorthala,North,250,true,Chole Kulche,4.3,Street,Student
Aliganj North Indian,Aliganj,North,230,true,Rajma Chawal,4.2,Street,Home style
Hazratganj North Indian,Hazratganj,Central,400,true,Amritsari Kulcha,4.5,Street,Tasty
Aminabad North Indian,Aminabad,Central,200,true,Kadhi Chawal,4.1,Street,Budget
Chowk North Indian,Chowk,Old,150,true,Poori Sabji,4.6,Street,Classic
Kapoorthala South Indian,Kapoorthala,North,150,true,Paper Dosa,4.2,Street,Budget
Aliganj South Indian,Aliganj,North,130,true,Vada Sambar,4.1,Street,Quick
Hazratganj South Indian,Hazratganj,Central,300,true,Onion Uttapam,4.4,Street,Tasty
Aminabad South Indian,Aminabad,Central,180,true,Rava Dosa,4.3,Street,Classic
Chowk South Indian,Chowk,Old,120,true,Idli Fry,4.0,Street,Simple
Kapoorthala Chinese,Kapoorthala,North,150,true,Veg Manchurian,4.1,Street,Cheap
Aliganj Chinese,Aliganj,North,140,true,Honey Potato,4.0,Street,Quick
Hazratganj Chinese,Hazratganj,Central,350,true,Chilli Chicken,4.4,Street,Spicy
Aminabad Chinese,Aminabad,Central,200,true,Fried Rice,4.2,Street,Budget
Chowk Chinese,Chowk,Old,120,true,Veg Chowmein,4.0,Street,Simple
